,Year,Country Name,Country Code,Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD]",Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Labor force, total [SL.TLF.TOTL.IN]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]",Net migration [SM.POP.NETM],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],"People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]",People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],"People using at least basic sanitation services, rural (% of rural population) [SH.STA.BASS.RU.ZS]","People using at least basic sanitation services, urban  (% of urban population) [SH.STA.BASS.UR.ZS]",Rural population (% of total population) [SP.RUR.TOTL.ZS],"School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS]
207,2018,Uruguay,URY,99.9,1379.09855737,1958.90021849,5.7,77.632,1761684.0,98.70385999999999,98.88027,-15000.0,99.40236350049419,95.30083,99.60735090049342,96.59619233958999,97.0778711952547,96.5721153684732,4.666,108.4594,120.2243,63.125769999999996,10.8,95.334
208,2018,Uzbekistan,UZB,100.0,135.11115848,416.90398159,5.2,71.388,15392266.0,99.98657,100.0,-44314.0,97.83345270968658,96.0725823628407,99.5560055566154,100.0,100.0,100.0,49.522,104.23299999999999,93.33636,10.07635,2.7,50.478
209,2018,Vanuatu,VUT,89.4,109.81414068,116.09247949,3.2,70.172,126225.0,87.50631,96.28211999999999,600.0,91.2568039495028,88.48513287315521,99.5,34.067057596590004,29.284460628733697,48.290925923889596,74.726,109.2919,54.204769999999996,,1.0,25.274
210,2018,"Venezuela, RB",VEN,96.2,1578.44019243,939.99701085,6.5,72.24600000000001,12988044.0,97.12709,98.75950999999999,-3266243.0,95.7237113191832,,,93.9350190169228,,,11.792,97.15034,88.07701999999999,,5.6,88.208
211,2018,Vietnam,VNM,93.8,122.84117394,356.27965474,3.5,75.241,56830826.0,95.00038,98.4081,-399999.0,94.71880560621278,92.63541199086241,98.5519586858497,83.5150494720583,77.67666525866001,94.25686045909359,64.081,110.5948,,28.544970000000003,8.4,35.919000000000004
212,2018,Virgin Islands (U.S.),VIR,,,,9.9,79.41951219512201,51011.0,,,-2254.0,98.71826737586859,,,99.3712775309951,,,4.279,,,,,95.721
213,2018,West Bank and Gaza,PSE,99.6,,,8.6,73.74,1267515.0,97.21861,99.33625,-52816.0,96.82689624416729,95.939048895758,97.10890078436279,96.93900691164791,96.13819271959049,97.1933673469388,23.836,98.60410999999999,89.48775,44.253809999999994,,76.164
214,2018,"Yemen, Rep.",YEM,44.7,72.03946941,144.51825361,3.0,66.086,6625451.0,,,-150000.0,63.4734743406448,54.704413899161,79.0521,59.0530031159991,42.83878620640429,87.8582745817496,63.358000000000004,93.63748000000001,51.58068,10.15192,0.1,36.641999999999996
215,2018,Zambia,ZMB,63.3,56.5441821,175.17835208,4.0,63.043,7183708.0,86.74795999999999,92.09156999999999,-40000.0,59.9637565087881,41.95205833395371,83.86311875885109,26.370118490977003,18.932011695757197,36.2395937080326,56.479,98.71552,,4.11603,4.8,43.521
216,2018,Zimbabwe,ZWE,78.1,93.94222513,185.04828186,4.1,60.812,6948204.0,88.69341999999999,90.42811999999999,-584288.0,64.0512297035443,49.804762825596505,93.99766920077879,36.221397559649404,31.466652730378197,46.21599338290999,67.791,109.8928,52.40567,10.00655,4.8,32.209
