,Time,Time Code,Country Name,Country Code,"Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],Domestic general government health expenditure (% of general government expenditure) [SH.XPD.GHED.GE.ZS],Domestic general government health expenditure (% of current health expenditure) [SH.XPD.GHED.CH.ZS],Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],"Domestic general government health expenditure per capita, PPP (current international $) [SH.XPD.GHED.PP.CD]",Domestic private health expenditure (% of current health expenditure) [SH.XPD.PVTD.CH.ZS],Domestic private health expenditure per capita (current US$) [SH.XPD.PVTD.PC.CD],"Domestic private health expenditure per capita, PPP (current international $) [SH.XPD.PVTD.PP.CD]","External health expenditure per capita, PPP (current international $) [SH.XPD.EHEX.PP.CD]",External health expenditure per capita (current US$) [SH.XPD.EHEX.PC.CD],Population density (people per sq. km of land area) [EN.POP.DNST],Land area (sq. km) [AG.LND.TOTL.K2],Urban land area (sq. km) [AG.LND.TOTL.UR.K2],Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS],Population in largest city [EN.URB.LCTY],"Age dependency ratio, old (% of working-age population) [SP.POP.DPND.OL]",Age dependency ratio (% of working-age population) [SP.POP.DPND],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Food production index (2004-2006 = 100) [AG.PRD.FOOD.XD]
32,2018.0,YR2018,Cabo Verde,CPV,43.2014886021992,5.1654886454343805,3.1119348481297497,9.8550945520401,60.2447330951691,100.963920593262,215.116897583008,31.454625725746197,52.7146873474121,112.31558227539101,29.639232635498,13.911007881164599,134.92977667493798,4030.0,180.38188169999998,,,6.91957075691778,50.121059359117005,2430.4048632560603,30.1984139593232,95.56
33,2018.0,YR2018,Cambodia,KHM,48.577706920322704,5.91884180903435,1.40879349783063,6.07874877750874,23.801845312118502,19.535573959350604,56.6918716430664,61.1326217651367,50.175132751464794,145.607315063477,35.883487701416,12.3651676177979,92.05641287106279,176520.0,1152.062866,51.370279144629,1952329.0,7.11300795325963,55.6907148735824,1151.49113914101,7.2771367725955995,187.64
34,2018.0,YR2018,Cameroon,CMR,78.023306222795,4.67066690325737,0.6220196373760699,3.13720740377903,13.3175760507584,9.0308895111084,23.154249191284197,78.96832227706909,53.54985046386721,137.296188354492,13.411914825439501,5.231070518493651,53.3439889149796,472710.0,3680.405762,25.716165164809603,3655656.0,4.99432538902312,83.01763161181809,1182.62520026256,22.8145408017728,181.65
35,2018.0,YR2018,Canada,CAN,23.723147708618498,10.5727694928646,7.79410153627396,19.3279251456261,73.7186372280121,3505.28295898438,3633.31713867188,26.2813627719879,1249.66516113281,1295.31066894531,0.0,0.0,4.07530821431988,9093510.0,126511.1641,20.1605171497434,6082425.0,25.7587287998035,49.481876508422005,36802.0730904932,8.04728720983097,117.66
36,2018.0,YR2018,Cayman Islands,CYM,,,,,,,,,,,,,267.391666666667,240.0,160.9671021,,,,,,,103.05
37,2018.0,YR2018,Central African Republic,CAF,83.7639853848473,5.82177564501762,0.7465049624443051,5.03486506640911,12.8226339817047,3.09667348861694,5.3841433525085405,31.9960653781891,7.72706747055054,13.4349451065063,23.170280456543,13.326314926147498,7.490412212270059,622980.0,,44.0858978344213,850946.0,5.34374625138192,89.1077316362292,322.996813879163,21.0707536928277,119.99
38,2018.0,YR2018,Chad,TCD,93.5172123243738,4.48730140924454,0.7092436775565151,4.6783633530139905,15.805572271347,4.69913339614868,13.7980346679688,63.13919425010679,18.7718257904053,55.119598388671896,18.3809127807617,6.25990295410156,12.2917336404066,1259200.0,,37.0600571866467,1322679.0,4.92233642416642,98.4395487485402,508.182492186466,,155.2
39,2018.0,YR2018,Channel Islands,CHI,22.4965468113386,,,,,,,,,,,,861.1060937864571,197.999992370605,,,,25.6204880506641,48.11703486200279,,,
40,2018.0,YR2018,Chile,CHL,28.747042051719603,8.983509987592699,4.49699349701405,17.7318215370178,50.05831122398379,691.7988891601559,1115.57788085938,40.128555893898,690.187255859375,1112.97900390625,0.0,0.0,25.189446066651897,743532.03125,12027.5166,40.7339645446385,6680371.0,16.778846284591598,45.525888336311205,11353.3045916759,9.55658940011221,114.79
41,2018.0,YR2018,China,CHN,25.1074045343824,5.151193216443059,2.91935373097658,9.07209143042564,56.6733479499817,249.830657958984,476.68798828125,43.326210975647,190.993057250977,364.423217773438,0.0038054403848946103,0.00199441914446652,148.348833270666,9388210.0,380679.3,3.1052779061251496,25582138.0,15.3378642157114,40.445268750093796,6567.928606129771,6.319966459545269,139.03
